customer_id,email,first_name,last_name,signup_date,country,gender,birth_year,loyalty_tier
C00001,morgan.nguyen1@example.com,Morgan,Nguyen,2022-04-06,France,M,1978,Bronze
C00002,sam.wilson2@example.com,Sam,Wilson,2025-01-06,United States,F,1986,Gold
C00003,alex.lee3@example.com,Alex,Lee,2025-02-17,Canada,F,2000,Bronze
C00004,morgan.patel4@example.com,Morgan,Patel,2023-05-06,France,Other,1970,Bronze
C00005,taylor.wilson5@example.com,Taylor,Wilson,2023-03-28,United States,Other,1991,Bronze
C00006,blake.kumar6@example.com,Blake,Kumar,2022-07-01,India,Other,1975,Silver
C00007,cameron.nguyen7@example.com,Cameron,Nguyen,2024-06-28,United States,Other,1985,Bronze
C00008,blake.martin8@example.com,Blake,Martin,2024-04-02,Canada,M,2002,Silver
C00009,cameron.wilson9@example.com,Cameron,Wilson,2022-01-07,India,F,1964,Silver
C00010,morgan.singh10@example.com,Morgan,Singh,2024-02-14,United Kingdom,F,1987,Bronze
C00011,robin.garcia11@example.com,Robin,Garcia,2022-05-31,Australia,Other,1975,Gold
C00012,riley.wilson12@example.com,Riley,Wilson,2022-05-27,India,F,2002,Silver
C00013,chris.brown13@example.com,Chris,Brown,2024-07-03,India,Other,1990,Bronze
C00014,pat.lopez14@example.com,Pat,Lopez,2025-08-01,India,Other,1972,Silver
C00015,jamie.kumar15@example.com,Jamie,Kumar,2023-05-29,France,M,1955,Silver
C00016,robin.lee16@example.com,Robin,Lee,2024-03-25,United Kingdom,Other,1959,Silver
C00017,pat.lee17@example.com,Pat,Lee,2024-01-16,Brazil,Other,1956,Silver
C00018,chris.brown18@example.com,Chris,Brown,2023-12-08,Brazil,M,1977,Bronze
C00019,taylor.lopez19@example.com,Taylor,Lopez,2025-02-16,Canada,F,1966,Silver
C00020,morgan.nguyen20@example.com,Morgan,Nguyen,2022-09-18,Canada,F,1991,Silver
C00021,jamie.garcia21@example.com,Jamie,Garcia,2024-07-22,United States,M,1984,Silver
C00022,blake.kumar22@example.com,Blake,Kumar,2024-06-23,Brazil,F,1988,Gold
C00023,taylor.johnson23@example.com,Taylor,Johnson,2024-12-12,Brazil,F,1998,Silver
C00024,alex.khan24@example.com,Alex,Khan,2024-05-03,United States,F,1998,Silver
C00025,jordan.kumar25@example.com,Jordan,Kumar,2025-07-27,India,Other,1971,Bronze
C00026,riley.martin26@example.com,Riley,Martin,2023-12-15,France,Other,1984,Gold
C00027,avery.singh27@example.com,Avery,Singh,2023-09-24,France,Other,2000,Bronze
C00028,jamie.johnson28@example.com,Jamie,Johnson,2022-05-08,Germany,F,1986,Bronze
C00029,drew.brown29@example.com,Drew,Brown,2023-12-22,Brazil,Other,2004,Bronze
C00030,jamie.nguyen30@example.com,Jamie,Nguyen,2025-02-12,United States,Other,1971,Bronze
C00031,chris.brown31@example.com,Chris,Brown,2023-06-10,United Kingdom,Other,1963,Bronze
C00032,sam.johnson32@example.com,Sam,Johnson,2023-07-06,United States,M,1956,Bronze
C00033,cameron.brown33@example.com,Cameron,Brown,2022-08-25,United States,Other,1979,Bronze
C00034,jamie.garcia34@example.com,Jamie,Garcia,2025-05-09,United States,F,1976,Silver
C00035,blake.kumar35@example.com,Blake,Kumar,2025-06-12,Canada,Other,2000,Silver
C00036,morgan.lopez36@example.com,Morgan,Lopez,2022-01-04,United States,F,1980,Bronze
C00037,avery.chen37@example.com,Avery,Chen,2023-03-18,India,Other,1983,Silver
C00038,drew.patel38@example.com,Drew,Patel,2025-02-06,France,F,1988,Bronze
C00039,morgan.lopez39@example.com,Morgan,Lopez,2024-03-15,United States,Other,1965,Bronze
C00040,drew.garcia40@example.com,Drew,Garcia,2024-04-17,Germany,M,1972,Silver
C00041,riley.khan41@example.com,Riley,Khan,2022-05-08,United States,Other,1975,Bronze
C00042,robin.smith42@example.com,Robin,Smith,2022-02-11,United States,F,1990,Bronze
C00043,jordan.smith43@example.com,Jordan,Smith,2022-02-10,United Kingdom,F,1992,Bronze
C00044,pat.martin44@example.com,Pat,Martin,2022-02-03,Brazil,F,1971,Bronze
C00045,chris.chen45@example.com,Chris,Chen,2025-03-22,United States,Other,1992,Bronze
C00046,alex.martin46@example.com,Alex,Martin,2023-08-11,United States,Other,1977,Bronze
C00047,alex.kumar47@example.com,Alex,Kumar,2022-12-08,United States,M,1975,Bronze
C00048,riley.johnson48@example.com,Riley,Johnson,2022-01-27,United States,M,1985,Bronze
C00049,riley.brown49@example.com,Riley,Brown,2023-10-08,India,F,1981,Bronze
C00050,jordan.patel50@example.com,Jordan,Patel,2022-06-17,Canada,M,1988,Silver
C00051,drew.chen51@example.com,Drew,Chen,2022-09-25,United States,Other,1999,Bronze
C00052,alex.wilson52@example.com,Alex,Wilson,2024-03-31,Canada,F,1961,Gold
C00053,morgan.singh53@example.com,Morgan,Singh,2024-06-24,United States,Other,1999,Bronze
C00054,taylor.lee54@example.com,Taylor,Lee,2024-07-10,Germany,Other,1975,Bronze
C00055,riley.kumar55@example.com,Riley,Kumar,2023-12-03,United States,M,2000,Platinum
C00056,pat.khan56@example.com,Pat,Khan,2022-05-10,India,Other,1997,Bronze
C00057,robin.martin57@example.com,Robin,Martin,2024-03-29,United States,F,1990,Bronze
C00058,sam.garcia58@example.com,Sam,Garcia,2024-03-04,France,F,1983,Silver
C00059,cameron.johnson59@example.com,Cameron,Johnson,2022-05-29,India,Other,1965,Silver
C00060,chris.patel60@example.com,Chris,Patel,2025-08-12,Brazil,F,1965,Bronze
C00061,jamie.garcia61@example.com,Jamie,Garcia,2023-11-07,Brazil,F,2003,Bronze
C00062,avery.brown62@example.com,Avery,Brown,2022-07-06,Brazil,F,1993,Bronze
C00063,taylor.kumar63@example.com,Taylor,Kumar,2024-01-14,India,F,1989,Silver
C00064,pat.smith64@example.com,Pat,Smith,2025-08-26,India,F,1988,Bronze
C00065,taylor.martin65@example.com,Taylor,Martin,2022-02-24,Brazil,Other,2001,Bronze
C00066,cameron.wilson66@example.com,Cameron,Wilson,2023-10-26,Canada,M,1976,Bronze
C00067,sam.brown67@example.com,Sam,Brown,2022-03-10,Germany,M,1987,Bronze
C00068,cameron.lopez68@example.com,Cameron,Lopez,2024-01-21,Australia,M,1974,Bronze
C00069,sam.wilson69@example.com,Sam,Wilson,2025-06-21,United States,F,1997,Silver
C00070,robin.patel70@example.com,Robin,Patel,2024-08-15,United Kingdom,F,1999,Bronze
C00071,morgan.singh71@example.com,Morgan,Singh,2023-04-27,Canada,F,1963,Bronze
C00072,chris.wilson72@example.com,Chris,Wilson,2022-06-03,United Kingdom,M,1956,Bronze
C00073,pat.lee73@example.com,Pat,Lee,2022-03-14,Germany,Other,1963,Gold
C00074,jordan.brown74@example.com,Jordan,Brown,2022-10-23,United States,Other,1971,Bronze
C00075,riley.kumar75@example.com,Riley,Kumar,2025-05-25,India,M,1997,Bronze
C00076,avery.brown76@example.com,Avery,Brown,2022-02-11,United Kingdom,F,1979,Bronze
C00077,alex.singh77@example.com,Alex,Singh,2024-11-28,India,M,1989,Bronze
C00078,casey.wilson78@example.com,Casey,Wilson,2022-05-11,Germany,F,2004,Bronze
C00079,sam.chen79@example.com,Sam,Chen,2025-06-06,United States,F,1998,Bronze
C00080,jamie.martin80@example.com,Jamie,Martin,2022-06-21,United States,F,1984,Bronze
C00081,sam.chen81@example.com,Sam,Chen,2022-04-12,United States,Other,1988,Bronze
C00082,robin.nguyen82@example.com,Robin,Nguyen,2023-06-08,United States,Other,1973,Bronze
C00083,chris.lee83@example.com,Chris,Lee,2024-12-03,France,F,2003,Bronze
C00084,riley.patel84@example.com,Riley,Patel,2024-08-14,Brazil,Other,1971,Bronze
C00085,morgan.lopez85@example.com,Morgan,Lopez,2022-11-26,France,Other,2003,Bronze
C00086,morgan.wilson86@example.com,Morgan,Wilson,2022-01-12,Canada,Other,1970,Bronze
C00087,sam.kumar87@example.com,Sam,Kumar,2022-08-04,United States,Other,1973,Bronze
C00088,sam.johnson88@example.com,Sam,Johnson,2023-10-23,United States,M,1971,Bronze
C00089,alex.garcia89@example.com,Alex,Garcia,2023-01-09,India,F,1970,Bronze
C00090,alex.brown90@example.com,Alex,Brown,2023-12-11,United Kingdom,F,1962,Bronze
C00091,sam.nguyen91@example.com,Sam,Nguyen,2023-04-11,United States,Other,1979,Bronze
C00092,riley.nguyen92@example.com,Riley,Nguyen,2025-07-15,Brazil,M,1969,Bronze
C00093,casey.brown93@example.com,Casey,Brown,2023-05-04,Australia,M,1999,Gold
C00094,sam.smith94@example.com,Sam,Smith,2022-02-16,United States,Other,1986,Bronze
C00095,avery.patel95@example.com,Avery,Patel,2024-02-17,France,F,1970,Bronze
C00096,cameron.wilson96@example.com,Cameron,Wilson,2023-12-12,Germany,Other,1971,Gold
C00097,casey.lopez97@example.com,Casey,Lopez,2024-09-07,India,F,1976,Bronze
C00098,cameron.martin98@example.com,Cameron,Martin,2022-09-07,Canada,M,1961,Bronze
C00099,robin.chen99@example.com,Robin,Chen,2022-12-01,Brazil,M,1961,Bronze
C00100,drew.nguyen100@example.com,Drew,Nguyen,2022-05-17,Brazil,M,2002,Bronze
C00101,jamie.khan101@example.com,Jamie,Khan,2024-04-06,Australia,M,1977,Gold
C00102,riley.garcia102@example.com,Riley,Garcia,2023-08-17,Australia,M,1985,Bronze
